name,light,scene,environment
Snap-6950.czi,1,84,SD_DAY1
Snap-6952.czi,0,85,SD_DAY1
Snap-6953.czi,1,85,SD_DAY1
Snap-6954.czi,0,86,SD_DAY1
Snap-6955.czi,1,86,SD_DAY1
Snap-6956.czi,0,87,SD_DAY1
Snap-6957.czi,1,87,SD_DAY1
Snap-6958.czi,0,88,SD_DAY1
Snap-6959.czi,1,88,SD_DAY1
Snap-6960.czi,0,89,SD_DAY1
Snap-6961.czi,1,89,SD_DAY1
Snap-7117.czi,0,90,SD_DAY3
Snap-7118.czi,1,90,SD_DAY3
Snap-7119.czi,0,91,SD_DAY3
Snap-7120.czi,1,91,SD_DAY3
Snap-7121.czi,1,92,SD_DAY3
Snap-7122.czi,0,92,SD_DAY3
Snap-7123.czi,1,93,SD_DAY3
Snap-7124.czi,0,93,SD_DAY3
Snap-7125.czi,1,94,SD_DAY3
Snap-7126.czi,0,94,SD_DAY3
Snap-7127.czi,1,95,SD_DAY3
Snap-7128.czi,0,95,SD_DAY3
Snap-7130.czi,1,96,SD_DAY3
Snap-7131.czi,0,96,SD_DAY3
Snap-7196.czi,1,97,SD_DAY3
Snap-7197.czi,0,97,SD_DAY3
Snap-7198.czi,1,98,SD_DAY3
Snap-7199.czi,0,98,SD_DAY3
Snap-7200.czi,1,99,SD_DAY3
Snap-7201.czi,0,99,SD_DAY3
Snap-7202.czi,1,100,SD_DAY3
Snap-7203.czi,0,100,SD_DAY3
Snap-7204.czi,1,101,SD_DAY3
Snap-7205.czi,0,101,SD_DAY3
Snap-7206.czi,1,102,SD_DAY3
Snap-7207.czi,0,102,SD_DAY3
Snap-7208.czi,1,103,SD_DAY3
Snap-7209.czi,0,103,SD_DAY3
Snap-7210.czi,1,104,SD_DAY3
Snap-7211.czi,0,104,SD_DAY3
Snap-7212.czi,1,105,SD_DAY3
Snap-7213.czi,0,105,SD_DAY3
Snap-7214.czi,1,106,SD_DAY3
Snap-7215.czi,0,106,SD_DAY3
Snap-7216.czi,1,107,SD_DAY3
Snap-7217.czi,0,107,SD_DAY3
Snap-7218.czi,1,108,SD_DAY3
Snap-7219.czi,0,108,SD_DAY3
Snap-7220.czi,1,109,SD_DAY3
Snap-7221.czi,0,109,SD_DAY3
Snap-7222.czi,1,110,SD_DAY3
Snap-7223.czi,0,110,SD_DAY3
Snap-7224.czi,1,111,SD_DAY3
Snap-7225.czi,0,111,SD_DAY3
Snap-7226.czi,1,112,SD_DAY3
Snap-7227.czi,0,112,SD_DAY3
Snap-7228.czi,1,113,SD_DAY3
Snap-7229.czi,0,113,SD_DAY3
Snap-7230.czi,1,114,SD_DAY3
Snap-7231.czi,0,114,SD_DAY3
Snap-6803.czi,0,115,YPD_DAY1
Snap-6804.czi,1,115,YPD_DAY1
Snap-6805.czi,0,116,YPD_DAY1
Snap-6806.czi,1,116,YPD_DAY1
Snap-6807.czi,0,117,YPD_DAY1
Snap-6808.czi,1,117,YPD_DAY1
Snap-6809.czi,0,118,YPD_DAY1
Snap-6810.czi,1,118,YPD_DAY1
Snap-6811.czi,0,119,YPD_DAY1
Snap-6812.czi,1,119,YPD_DAY1
Snap-6813.czi,0,120,YPD_DAY1
Snap-6814.czi,1,120,YPD_DAY1
Snap-6815.czi,0,121,YPD_DAY1
Snap-6816.czi,1,121,YPD_DAY1
Snap-6817.czi,0,122,YPD_DAY1
Snap-6818.czi,1,122,YPD_DAY1
Snap-6819.czi,0,123,YPD_DAY1
Snap-6820.czi,1,123,YPD_DAY1
Snap-6821.czi,0,124,YPD_DAY1
Snap-6822.czi,1,124,YPD_DAY1
Snap-6823.czi,0,125,YPD_DAY1
Snap-6824.czi,1,125,YPD_DAY1
Snap-6825.czi,0,126,YPD_DAY1
Snap-6826.czi,1,126,YPD_DAY1
Snap-6827.czi,0,127,YPD_DAY1
Snap-6828.czi,1,127,YPD_DAY1
Snap-6829.czi,0,128,YPD_DAY1
Snap-6830.czi,1,128,YPD_DAY1
Snap-6831.czi,0,129,YPD_DAY1
Snap-6832.czi,1,129,YPD_DAY1
Snap-6833.czi,0,130,YPD_DAY1
Snap-6834.czi,1,130,YPD_DAY1
Snap-6835.czi,0,131,YPD_DAY1
Snap-6836.czi,1,131,YPD_DAY1
Snap-6837.czi,0,132,YPD_DAY1
Snap-6838.czi,1,132,YPD_DAY1
Snap-6839.czi,0,133,YPD_DAY1
Snap-6840.czi,1,133,YPD_DAY1
Snap-6841.czi,0,134,YPD_DAY1
Snap-6842.czi,1,134,YPD_DAY1
Snap-6843.czi,0,135,YPD_DAY1
Snap-6844.czi,1,135,YPD_DAY1
Snap-6845.czi,0,136,YPD_DAY1
Snap-6846.czi,1,136,YPD_DAY1
Snap-6847.czi,0,137,YPD_DAY1
Snap-6848.czi,1,137,YPD_DAY1
Snap-6849.czi,0,138,YPD_DAY1
Snap-6850.czi,1,138,YPD_DAY1
Snap-6851.czi,0,139,YPD_DAY1
Snap-6852.czi,1,139,YPD_DAY1
Snap-6853.czi,0,140,YPD_DAY1
Snap-6854.czi,1,140,YPD_DAY1
Snap-6855.czi,0,141,YPD_DAY1
Snap-6856.czi,1,141,YPD_DAY1
Snap-6857.czi,0,142,YPD_DAY1
Snap-6858.czi,1,142,YPD_DAY1
Snap-6859.czi,0,143,YPD_DAY1
Snap-6860.czi,1,143,YPD_DAY1
Snap-6861.czi,0,144,YPD_DAY1
Snap-6862.czi,1,144,YPD_DAY1
Snap-6865.czi,0,145,YPD_DAY1
Snap-6866.czi,1,145,YPD_DAY1
Snap-6867.czi,0,146,YPD_DAY1
Snap-6868.czi,1,146,YPD_DAY1
Snap-6869.czi,0,147,YPD_DAY1
Snap-6870.czi,1,147,YPD_DAY1
Snap-6871.czi,0,148,YPD_DAY1
Snap-6872.czi,1,148,YPD_DAY1
Snap-6873.czi,0,149,YPD_DAY1
Snap-6874.czi,1,149,YPD_DAY1
Snap-6875.czi,0,150,YPD_DAY1
Snap-6876.czi,1,150,YPD_DAY1
Snap-6878.czi,0,151,YPD_DAY1
Snap-6879.czi,1,151,YPD_DAY1
Snap-6880.czi,0,152,YPD_DAY1
Snap-6881.czi,1,152,YPD_DAY1
Snap-6882.czi,0,153,YPD_DAY1
Snap-6883.czi,1,153,YPD_DAY1
Snap-6884.czi,0,154,YPD_DAY1
Snap-6885.czi,1,154,YPD_DAY1
Snap-6886.czi,0,155,YPD_DAY1
Snap-6887.czi,1,155,YPD_DAY1
Snap-6888.czi,0,156,YPD_DAY1
Snap-6889.czi,1,156,YPD_DAY1
Snap-6890.czi,0,157,YPD_DAY1
Snap-6891.czi,1,157,YPD_DAY1
Snap-6892.czi,0,158,YPD_DAY1
Snap-6893.czi,1,158,YPD_DAY1
Snap-6894.czi,0,159,YPD_DAY1
Snap-6895.czi,1,159,YPD_DAY1
Snap-6897.czi,0,160,YPD_DAY1
Snap-6898.czi,1,160,YPD_DAY1
Snap-7024.czi,1,161,YPD_DAY3
Snap-7025.czi,0,161,YPD_DAY3
Snap-7026.czi,1,162,YPD_DAY3
Snap-7027.czi,0,162,YPD_DAY3
Snap-7028.czi,1,163,YPD_DAY3
Snap-7029.czi,0,163,YPD_DAY3
Snap-7030.czi,1,164,YPD_DAY3
Snap-7031.czi,0,164,YPD_DAY3
Snap-7032.czi,1,165,YPD_DAY3
Snap-7033.czi,0,165,YPD_DAY3
Snap-7034.czi,1,166,YPD_DAY3
Snap-7035.czi,0,166,YPD_DAY3
Snap-7036.czi,1,167,YPD_DAY3
Snap-7037.czi,0,167,YPD_DAY3
Snap-7038.czi,1,168,YPD_DAY3
Snap-7039.czi,0,168,YPD_DAY3
Snap-7040.czi,1,169,YPD_DAY3
Snap-7041.czi,0,169,YPD_DAY3
Snap-7042.czi,1,170,YPD_DAY3
Snap-7043.czi,0,170,YPD_DAY3
Snap-7044.czi,1,171,YPD_DAY3
Snap-7045.czi,0,171,YPD_DAY3
Snap-7046.czi,1,172,YPD_DAY3
Snap-7047.czi,0,172,YPD_DAY3
Snap-7048.czi,0,173,YPD_DAY3
Snap-7049.czi,1,173,YPD_DAY3
Snap-7050.czi,1,174,YPD_DAY3
Snap-7051.czi,0,174,YPD_DAY3
Snap-7052.czi,1,175,YPD_DAY3
Snap-7053.czi,0,175,YPD_DAY3
Snap-7054.czi,1,176,YPD_DAY3
Snap-7055.czi,0,176,YPD_DAY3
Snap-7056.czi,1,177,YPD_DAY3
Snap-7057.czi,0,177,YPD_DAY3
Snap-7058.czi,1,178,YPD_DAY3
Snap-7059.czi,0,178,YPD_DAY3
Snap-7060.czi,1,179,YPD_DAY3
Snap-7061.czi,0,179,YPD_DAY3
Snap-7062.czi,1,180,YPD_DAY3
Snap-7063.czi,0,180,YPD_DAY3
Snap-7064.czi,1,181,YPD_DAY3
Snap-7065.czi,0,181,YPD_DAY3
Snap-7066.czi,1,182,YPD_DAY3
Snap-7067.czi,0,182,YPD_DAY3
Snap-7068.czi,1,183,YPD_DAY3
Snap-7069.czi,0,183,YPD_DAY3
Snap-7070.czi,1,184,YPD_DAY3
Snap-7071.czi,0,184,YPD_DAY3
Snap-7072.czi,1,185,YPD_DAY3
Snap-7073.czi,0,185,YPD_DAY3
Snap-7074.czi,1,186,YPD_DAY3
Snap-7075.czi,0,186,YPD_DAY3
Snap-7076.czi,1,187,YPD_DAY3
Snap-7077.czi,0,187,YPD_DAY3
Snap-7078.czi,1,188,YPD_DAY3
Snap-7079.czi,0,188,YPD_DAY3
Snap-7080.czi,1,189,YPD_DAY3
Snap-7081.czi,0,189,YPD_DAY3
Snap-7082.czi,1,190,YPD_DAY3
Snap-7083.czi,0,190,YPD_DAY3
Snap-7084.czi,1,191,YPD_DAY3
Snap-7085.czi,0,191,YPD_DAY3
Snap-7086.czi,1,192,YPD_DAY3
Snap-7087.czi,0,192,YPD_DAY3
Snap-7088.czi,1,193,YPD_DAY3
Snap-7089.czi,0,193,YPD_DAY3
Snap-7090.czi,1,194,YPD_DAY3
Snap-7091.czi,0,194,YPD_DAY3
Snap-7092.czi,1,195,YPD_DAY3
Snap-7093.czi,0,195,YPD_DAY3
Snap-7094.czi,1,196,YPD_DAY3
Snap-7095.czi,0,196,YPD_DAY3
Snap-7096.czi,1,197,YPD_DAY3
Snap-7097.czi,0,197,YPD_DAY3
Snap-7098.czi,1,198,YPD_DAY3
Snap-7099.czi,0,198,YPD_DAY3
Snap-7100.czi,1,199,YPD_DAY3
Snap-7101.czi,0,199,YPD_DAY3
Snap-7103.czi,1,200,YPD_DAY3
Snap-7104.czi,0,200,YPD_DAY3
Snap-7105.czi,1,201,YPD_DAY3
Snap-7106.czi,0,201,YPD_DAY3
Snap-7107.czi,1,202,YPD_DAY3
Snap-7108.czi,0,202,YPD_DAY3
Snap-7109.czi,1,203,YPD_DAY3
Snap-7110.czi,0,203,YPD_DAY3
Snap-7111.czi,1,204,YPD_DAY3
Snap-7112.czi,0,204,YPD_DAY3
Snap-7113.czi,1,205,YPD_DAY3
Snap-7114.czi,0,205,YPD_DAY3
Snap-7115.czi,1,206,YPD_DAY3
Snap-7116.czi,0,206,YPD_DAY3
Snap-7986.czi,0,207,YPD
Snap-7987.czi,1,207,YPD
Snap-7988.czi,0,208,YPD
Snap-7989.czi,1,208,YPD
Snap-7990.czi,0,209,YPD
Snap-7991.czi,1,209,YPD
Snap-7992.czi,0,210,YPD
Snap-7993.czi,1,210,YPD
Snap-7994.czi,0,211,YPD
Snap-7995.czi,1,211,YPD
Snap-7996.czi,0,212,YPD
Snap-7997.czi,1,212,YPD
Snap-7998.czi,0,213,YPD
Snap-7999.czi,1,213,YPD
Snap-8000.czi,0,214,YPD
Snap-8001.czi,1,214,YPD
Snap-8002.czi,0,215,YPD
Snap-8003.czi,1,215,YPD
Snap-8004.czi,0,216,YPD
Snap-8005.czi,1,216,YPD
Snap-8006.czi,0,217,YPD
Snap-8007.czi,1,217,YPD
Snap-8008.czi,0,218,YPD
Snap-8009.czi,1,218,YPD
Snap-8010.czi,0,219,YPD
Snap-8011.czi,1,219,YPD
Snap-8012.czi,0,220,YPD
Snap-8013.czi,1,220,YPD
Snap-8014.czi,0,221,YPD
Snap-8015.czi,1,221,YPD
Snap-8016.czi,0,222,YPD
Snap-8017.czi,1,222,YPD
Snap-8018.czi,0,223,YPD
Snap-8019.czi,1,223,YPD
Snap-8020.czi,0,224,YPD
Snap-8021.czi,1,224,YPD
Snap-8022.czi,0,225,YPD
Snap-8023.czi,1,225,YPD
Snap-8024.czi,0,226,YPD
Snap-8025.czi,1,226,YPD
Snap-8026.czi,0,227,YPD
Snap-8027.czi,1,227,YPD
Snap-8028.czi,0,228,YPD
Snap-8029.czi,1,228,YPD
Snap-8030.czi,0,229,YPD
Snap-8031.czi,1,229,YPD
Snap-8032.czi,0,230,YPD
Snap-8033.czi,1,230,YPD
Snap-8034.czi,0,231,YPD
Snap-8035.czi,1,231,YPD
Snap-8036.czi,0,232,YPD
Snap-8037.czi,1,232,YPD
Snap-8038.czi,0,233,YPD
Snap-8039.czi,1,233,YPD
Snap-8040.czi,0,234,YPD
Snap-8041.czi,1,234,YPD
Snap-8042.czi,0,235,YPD
Snap-8043.czi,1,235,YPD
Snap-8044.czi,0,236,YPD
Snap-8045.czi,1,236,YPD
Snap-8046.czi,0,237,YPD
Snap-8047.czi,1,237,YPD
Snap-8048.czi,0,238,YPD
Snap-8049.czi,1,238,YPD
Snap-8050.czi,0,239,YPD
Snap-8051.czi,1,239,YPD
Snap-8052.czi,0,240,YPD
Snap-8053.czi,1,240,YPD
Snap-8054.czi,0,241,YPD
Snap-8055.czi,1,241,YPD
Snap-8056.czi,0,242,YPD
Snap-8057.czi,1,242,YPD
Snap-8058.czi,0,243,YPD
Snap-8059.czi,1,243,YPD
Snap-8060.czi,0,244,YPD
Snap-8061.czi,1,244,YPD
Snap-8062.czi,0,245,YPD
Snap-8063.czi,1,245,YPD
Snap-8064.czi,0,246,YPD
Snap-8065.czi,1,246,YPD
Snap-8066.czi,0,247,YPD
Snap-8067.czi,1,247,YPD
Snap-8068.czi,0,248,YPD
Snap-8069.czi,1,248,YPD
Snap-8070.czi,0,249,YPD
Snap-8071.czi,1,249,YPD
Snap-8072.czi,0,250,YPD
Snap-8073.czi,1,250,YPD
Snap-8074.czi,0,251,YPD
Snap-8075.czi,1,251,YPD
Snap-8076.czi,0,252,YPD
Snap-8077.czi,1,252,YPD
Snap-8078.czi,0,253,YPD
Snap-8079.czi,1,253,YPD
Snap-8080.czi,0,254,YPD
Snap-8081.czi,1,254,YPD
Snap-8082.czi,0,255,YPD
Snap-8083.czi,1,255,YPD
Snap-8084.czi,0,256,YPD
Snap-8085.czi,1,256,YPD
Snap-8086.czi,0,257,YPD
Snap-8087.czi,1,257,YPD
Snap-8088.czi,0,258,YPD
Snap-8089.czi,1,258,YPD
Snap-8090.czi,0,259,YPD
Snap-8091.czi,1,259,YPD
Snap-8092.czi,0,260,YPD
Snap-8093.czi,1,260,YPD
Snap-8094.czi,0,261,YPD
Snap-8095.czi,1,261,YPD
Snap-8260.czi,0,262,YPD%1_DAY1
Snap-8261.czi,1,262,YPD%1_DAY1
Snap-8262.czi,0,263,YPD%1_DAY1
Snap-8263.czi,1,263,YPD%1_DAY1
Snap-8264.czi,0,264,YPD%1_DAY1
Snap-8265.czi,1,264,YPD%1_DAY1
Snap-8266.czi,0,265,YPD%1_DAY1
Snap-8267.czi,1,265,YPD%1_DAY1
Snap-8268.czi,0,266,YPD%1_DAY1
Snap-8269.czi,1,266,YPD%1_DAY1
Snap-8270.czi,0,267,YPD%1_DAY1
Snap-8271.czi,1,267,YPD%1_DAY1
Snap-8272.czi,0,268,YPD%1_DAY1
Snap-8273.czi,1,268,YPD%1_DAY1
Snap-8274.czi,0,269,YPD%1_DAY1
Snap-8275.czi,1,269,YPD%1_DAY1
Snap-8276.czi,0,270,YPD%1_DAY1
Snap-8277.czi,1,270,YPD%1_DAY1
Snap-8278.czi,0,271,YPD%1_DAY1
Snap-8279.czi,1,271,YPD%1_DAY1
Snap-8280.czi,0,272,YPD%1_DAY1
Snap-8281.czi,1,272,YPD%1_DAY1
Snap-8282.czi,0,273,YPD%1_DAY1
Snap-8283.czi,1,273,YPD%1_DAY1
Snap-8284.czi,0,274,YPD%1_DAY1
Snap-8285.czi,1,274,YPD%1_DAY1
Snap-8286.czi,0,275,YPD%1_DAY1
Snap-8287.czi,1,275,YPD%1_DAY1
Snap-8288.czi,0,276,YPD%1_DAY1
Snap-8289.czi,1,276,YPD%1_DAY1
Snap-8290.czi,0,277,YPD%1_DAY1
Snap-8291.czi,1,277,YPD%1_DAY1
Snap-8292.czi,0,278,YPD%1_DAY1
Snap-8293.czi,1,278,YPD%1_DAY1
Snap-8294.czi,0,279,YPD%1_DAY1
Snap-8295.czi,1,279,YPD%1_DAY1
Snap-8296.czi,0,280,YPD%1_DAY1
Snap-8297.czi,1,280,YPD%1_DAY1
Snap-8298.czi,0,281,YPD%1_DAY1
Snap-8299.czi,1,281,YPD%1_DAY1
Snap-8300.czi,0,282,YPD%1_DAY1
Snap-8301.czi,1,282,YPD%1_DAY1
Snap-8302.czi,0,283,YPD%1_DAY1
Snap-8303.czi,1,283,YPD%1_DAY1
Snap-8304.czi,0,284,YPD%1_DAY1
Snap-8305.czi,1,284,YPD%1_DAY1
Snap-8306.czi,0,285,YPD%1_DAY1
Snap-8307.czi,1,285,YPD%1_DAY1
Snap-8308.czi,0,286,YPD%1_DAY1
Snap-8309.czi,1,286,YPD%1_DAY1
Snap-8310.czi,0,287,YPD%1_DAY1
Snap-8311.czi,1,287,YPD%1_DAY1
Snap-8312.czi,0,288,YPD%1_DAY1
Snap-8313.czi,1,288,YPD%1_DAY1
Snap-8314.czi,0,289,YPD%1_DAY1
Snap-8315.czi,1,289,YPD%1_DAY1
Snap-8316.czi,0,290,YPD%1_DAY1
Snap-8317.czi,1,290,YPD%1_DAY1
Snap-8318.czi,0,291,YPD%1_DAY1
Snap-8319.czi,1,291,YPD%1_DAY1
Snap-8320.czi,0,292,YPD%1_DAY1
Snap-8321.czi,1,292,YPD%1_DAY1
Snap-8322.czi,0,293,YPD%1_DAY1
Snap-8323.czi,1,293,YPD%1_DAY1
Snap-8324.czi,0,294,YPD%1_DAY1
Snap-8325.czi,1,294,YPD%1_DAY1
Snap-8326.czi,0,295,YPD%1_DAY1
Snap-8327.czi,1,295,YPD%1_DAY1
Snap-8328.czi,0,296,YPD%1_DAY1
Snap-8329.czi,1,296,YPD%1_DAY1
Snap-8531.czi,0,297,YPD%1_DAY1
Snap-8532.czi,1,297,YPD%1_DAY1
Snap-8533.czi,0,298,YPD%1_DAY1
Snap-8534.czi,1,298,YPD%1_DAY1
Snap-8535.czi,0,299,YPD%1_DAY1
Snap-8536.czi,1,299,YPD%1_DAY1
Snap-8537.czi,0,300,YPD%1_DAY1
Snap-8538.czi,1,300,YPD%1_DAY1
Snap-8539.czi,0,301,YPD%1_DAY1
Snap-8540.czi,1,301,YPD%1_DAY1
Snap-8541.czi,0,302,YPD%1_DAY1
Snap-8542.czi,1,302,YPD%1_DAY1
Snap-8543.czi,0,303,YPD%1_DAY1
Snap-8544.czi,1,303,YPD%1_DAY1
Snap-8545.czi,0,304,YPD%1_DAY2
Snap-8546.czi,1,304,YPD%1_DAY2
Snap-8547.czi,0,305,YPD%1_DAY2
Snap-8548.czi,1,305,YPD%1_DAY2
Snap-8549.czi,0,306,YPD%1_DAY2
Snap-8550.czi,1,306,YPD%1_DAY2
Snap-8551.czi,0,307,YPD%1_DAY2
Snap-8552.czi,1,307,YPD%1_DAY2
Snap-8553.czi,0,308,YPD%1_DAY2
Snap-8554.czi,1,308,YPD%1_DAY2
Snap-8555.czi,0,309,YPD%1_DAY2
Snap-8556.czi,1,309,YPD%1_DAY2
Snap-8557.czi,0,310,YPD%1_DAY2
Snap-8558.czi,1,310,YPD%1_DAY2
